Frame,Class,Color,Conf,x1,y1,x2,y2
120,traffic light,Red,0.7061,688,357,729,441
121,traffic light,Red,0.7003,688,357,729,441
122,traffic light,Red,0.6946,688,357,729,441
123,traffic light,Red,0.6861,688,357,729,441
124,traffic light,Red,0.6675,688,357,729,441
125,traffic light,Red,0.6682,688,357,729,441
126,traffic light,Red,0.6403,688,357,729,441
127,traffic light,Red,0.6374,688,357,729,441
128,traffic light,Red,0.6063,688,357,729,441
129,traffic light,Red,0.6242,688,357,729,441
130,traffic light,Red,0.6344,688,357,729,441
131,traffic light,Red,0.6522,688,357,729,441
132,traffic light,Red,0.6475,688,357,729,441
133,traffic light,Red,0.6361,688,357,729,441
134,traffic light,Red,0.6296,688,357,729,441
135,traffic light,Red,0.6377,688,357,729,441
136,traffic light,Red,0.6481,688,357,729,441
137,traffic light,Red,0.6396,688,357,729,441
138,traffic light,Red,0.6388,688,357,729,441
139,traffic light,Red,0.6252,688,357,729,441
140,traffic light,Red,0.6243,688,357,729,441
141,traffic light,Red,0.6344,688,357,729,441
142,traffic light,Red,0.6160,688,357,729,441
143,traffic light,Red,0.6142,688,357,729,441
144,traffic light,Red,0.6336,688,357,729,441
145,traffic light,Red,0.6427,688,357,729,441
146,traffic light,Red,0.6460,688,357,729,441
147,traffic light,Red,0.6638,688,357,729,441
148,traffic light,Red,0.6580,688,357,729,441
149,traffic light,Red,0.6534,688,357,729,441
150,traffic light,Red,0.6948,688,357,729,441
151,traffic light,Red,0.6881,687,357,729,442
152,traffic light,Red,0.6876,687,357,729,442
153,traffic light,Red,0.6951,687,356,730,442
154,traffic light,Red,0.7036,687,356,730,442
155,traffic light,Red,0.6924,687,356,730,442
156,traffic light,Red,0.7258,687,356,729,442
157,traffic light,Red,0.7156,687,356,729,442
158,traffic light,Red,0.7178,687,356,729,442
159,traffic light,Red,0.7290,687,356,729,442
160,traffic light,Red,0.7308,687,356,729,442
161,traffic light,Red,0.7371,687,356,730,442
162,traffic light,Red,0.7328,687,356,730,442
163,traffic light,Red,0.7375,687,356,730,442
164,traffic light,Red,0.7377,687,356,730,442
165,traffic light,Red,0.7247,687,357,729,442
166,traffic light,Red,0.7314,687,357,729,442
167,traffic light,Red,0.7241,687,357,729,442
168,traffic light,Red,0.7217,687,357,729,441
169,traffic light,Red,0.7167,687,357,729,441
170,traffic light,Red,0.7235,687,356,729,442
171,traffic light,Red,0.7015,687,357,729,442
172,traffic light,Red,0.6960,687,357,729,441
173,traffic light,Red,0.6802,687,358,729,441
174,traffic light,Red,0.6710,688,358,729,441
175,traffic light,Red,0.6648,688,358,729,441
176,traffic light,Red,0.6770,688,358,729,442
177,traffic light,Red,0.6907,688,358,729,441
178,traffic light,Red,0.6978,688,358,729,442
179,traffic light,Red,0.6993,688,358,729,442
180,traffic light,Red,0.7040,688,358,729,442
181,traffic light,Red,0.6999,688,358,729,442
182,traffic light,Red,0.7064,688,358,729,442
183,traffic light,Red,0.6992,688,358,729,442
184,traffic light,Red,0.6913,688,358,729,442
185,traffic light,Red,0.7074,688,358,729,442
186,traffic light,Red,0.7296,687,358,730,442
187,traffic light,Red,0.7421,687,358,730,442
188,traffic light,Red,0.7320,687,358,729,441
189,traffic light,Red,0.7203,687,358,729,441
190,traffic light,Red,0.7406,687,358,730,441
191,traffic light,Red,0.7421,687,357,730,441
192,traffic light,Red,0.7513,687,357,730,441
193,traffic light,Red,0.7671,687,357,730,441
194,traffic light,Red,0.7605,687,357,730,441
195,traffic light,Red,0.7578,687,357,730,441
196,traffic light,Red,0.7651,687,357,730,441
197,traffic light,Red,0.7684,687,357,730,441
198,traffic light,Red,0.7535,687,357,730,441
199,traffic light,Red,0.7278,687,356,730,441
200,traffic light,Red,0.6932,687,356,730,442
201,traffic light,Red,0.7088,687,356,730,441
202,traffic light,Red,0.6951,687,356,730,441
203,traffic light,Red,0.6924,687,356,730,441
204,traffic light,Red,0.6753,687,356,730,442
205,traffic light,Red,0.6918,687,356,730,442
206,traffic light,Red,0.6914,687,356,730,442
207,traffic light,Red,0.6938,687,356,730,442
208,traffic light,Red,0.6880,687,356,730,442
209,traffic light,Red,0.6827,687,356,730,442
210,traffic light,Red,0.6870,687,356,730,442
211,traffic light,Red,0.6898,687,356,730,442
212,traffic light,Red,0.6956,687,356,730,442
213,traffic light,Red,0.6877,687,356,730,442
214,traffic light,Red,0.6689,687,356,730,442
215,traffic light,Red,0.6874,688,356,730,443
216,traffic light,Red,0.6844,688,356,730,443
217,traffic light,Red,0.6575,688,356,730,443
218,traffic light,Red,0.6472,687,356,730,443
219,traffic light,Red,0.6874,688,356,730,443
220,traffic light,Red,0.6858,688,356,730,443
221,traffic light,Red,0.6929,688,356,730,443
222,traffic light,Red,0.6961,688,356,730,443
223,traffic light,Red,0.6917,688,356,730,443
224,traffic light,Red,0.6778,688,356,731,443
225,traffic light,Red,0.6450,688,356,731,443
226,traffic light,Red,0.6417,688,356,731,443
227,traffic light,Red,0.6511,688,356,731,443
228,traffic light,Red,0.6497,688,356,731,443
229,traffic light,Red,0.6405,688,356,731,443
230,traffic light,Red,0.6299,688,356,731,443
231,traffic light,Red,0.6232,688,356,731,443
